"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119",".debug() - enable or disable debugging","Cypress APIs","Tue Dec 02 19:18:17 UTC 2025","passed","Tue Dec 02 19:18:17 UTC 2025","","Cypress.Cookies","",""
"","338","Cypress._ - call a lodash method","Utilities","Tue Dec 02 19:19:10 UTC 2025","passed","Tue Dec 02 19:19:11 UTC 2025","","","",""
"","104","finds element by class name regex","Assertions","Tue Dec 02 19:18:01 UTC 2025","passed","Tue Dec 02 19:18:01 UTC 2025","","Explicit Assertions","",""
"","1594","retries the should callback until assertions pass","Assertions","Tue Dec 02 19:18:01 UTC 2025","passed","Tue Dec 02 19:18:03 UTC 2025","","Explicit Assertions","",""
"","192","Cypress.$ - call a jQuery method","Utilities","Tue Dec 02 19:19:11 UTC 2025","passed","Tue Dec 02 19:19:11 UTC 2025","","","",""
"","192","cy.getCookies() - get browser cookies for the current domain","Cookies","Tue Dec 02 19:18:12 UTC 2025","passed","Tue Dec 02 19:18:12 UTC 2025","","","",""
"","202","cy.request() with query parameters","Network Requests","Tue Dec 02 19:18:42 UTC 2025","passed","Tue Dec 02 19:18:42 UTC 2025","","","",""
"","286",".each() - iterate over an array of elements","Connectors","Tue Dec 02 19:18:07 UTC 2025","passed","Tue Dec 02 19:18:07 UTC 2025","","","",""
"","87","Cypress.minimatch - test out glob patterns against strings","Utilities","Tue Dec 02 19:19:11 UTC 2025","passed","Tue Dec 02 19:19:11 UTC 2025","","","",""
"","4441","cy.wait() - wait for a specific amount of time","Waiting","Tue Dec 02 19:19:23 UTC 2025","passed","Tue Dec 02 19:19:27 UTC 2025","","","",""
"","275","can delete all completed tasks","example to-do app","Tue Dec 02 19:17:35 UTC 2025","passed","Tue Dec 02 19:17:35 UTC 2025","","with a checked task","",""
"","968","cy.go() - go back or forward in the browser's history","Navigation","Tue Dec 02 19:18:36 UTC 2025","passed","Tue Dec 02 19:18:37 UTC 2025","","","",""
"","394","cy.reload() - reload the page","Navigation","Tue Dec 02 19:18:37 UTC 2025","passed","Tue Dec 02 19:18:37 UTC 2025","","","",""
"","127",".scrollIntoView() - scroll an element into view","Actions","Tue Dec 02 19:17:49 UTC 2025","passed","Tue Dec 02 19:17:50 UTC 2025","","","",""
"","93","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","Tue Dec 02 19:18:55 UTC 2025","passed","Tue Dec 02 19:18:55 UTC 2025","","","",""
"","389",".blur() - blur off a DOM element","Actions","Tue Dec 02 19:17:43 UTC 2025","passed","Tue Dec 02 19:17:44 UTC 2025","","","",""
"","2130","cy.scrollTo() - scroll the window or element to a position","Actions","Tue Dec 02 19:17:50 UTC 2025","passed","Tue Dec 02 19:17:52 UTC 2025","","","",""
"","249",".add() - create a custom command","Cypress APIs","Tue Dec 02 19:18:17 UTC 2025","passed","Tue Dec 02 19:18:17 UTC 2025","","Cypress.Commands","",""
"","113",".and() - chain multiple assertions together","Assertions","Tue Dec 02 19:18:00 UTC 2025","passed","Tue Dec 02 19:18:01 UTC 2025","","Implicit Assertions","",""
"","85","cy.url() - get the current URL","Location","Tue Dec 02 19:18:26 UTC 2025","passed","Tue Dec 02 19:18:26 UTC 2025","","","",""
"","197","can check off an item as completed","example to-do app","Tue Dec 02 19:17:34 UTC 2025","passed","Tue Dec 02 19:17:34 UTC 2025","","","",""
"","1092","Cypress.Promise - instantiate a bluebird promise","Utilities","Tue Dec 02 19:19:11 UTC 2025","passed","Tue Dec 02 19:19:12 UTC 2025","","","",""
"","126","cy.contains() - query DOM elements with matching content","Querying","Tue Dec 02 19:18:47 UTC 2025","passed","Tue Dec 02 19:18:47 UTC 2025","","","",""
"","450",".submit() - submit a form","Actions","Tue Dec 02 19:17:44 UTC 2025","passed","Tue Dec 02 19:17:45 UTC 2025","","","",""
"","725",".as() - alias a route for later use","Aliasing","Tue Dec 02 19:17:56 UTC 2025","passed","Tue Dec 02 19:17:57 UTC 2025","","","",""
"","267",".should() - make an assertion about the current subject","Assertions","Tue Dec 02 19:18:00 UTC 2025","passed","Tue Dec 02 19:18:00 UTC 2025","","Implicit Assertions","",""
"","102",".prevAll() - get all previous sibling DOM elements","Traversal","Tue Dec 02 19:19:06 UTC 2025","passed","Tue Dec 02 19:19:06 UTC 2025","","","",""
"","127","cy.fixture() or require - load a fixture","Files","Tue Dec 02 19:18:22 UTC 2025","passed","Tue Dec 02 19:18:22 UTC 2025","","","",""
"","275","Cypress.Blob - blob utilities and base64 string conversion","Utilities","Tue Dec 02 19:19:11 UTC 2025","passed","Tue Dec 02 19:19:11 UTC 2025","","","",""
"","273","can filter for completed tasks","example to-do app","Tue Dec 02 19:17:35 UTC 2025","passed","Tue Dec 02 19:17:35 UTC 2025","","with a checked task","",""
"","91","Get current spec information","Cypress APIs","Tue Dec 02 19:18:18 UTC 2025","passed","Tue Dec 02 19:18:18 UTC 2025","","Cypress.spec","",""
"","2535","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","Tue Dec 02 19:18:52 UTC 2025","passed","Tue Dec 02 19:18:55 UTC 2025","","","",""
"","186","cy.clock() - control time in the browser","Spies, Stubs, and Clock","Tue Dec 02 19:18:55 UTC 2025","passed","Tue Dec 02 19:18:55 UTC 2025","","","",""
"","103","invokes a callback function with the current subject","Connectors","Tue Dec 02 19:18:07 UTC 2025","passed","Tue Dec 02 19:18:07 UTC 2025","",".then()","",""
"","97",".prev() - get previous sibling DOM element","Traversal","Tue Dec 02 19:19:06 UTC 2025","passed","Tue Dec 02 19:19:06 UTC 2025","","","",""
"","93",".siblings() - get all sibling DOM elements","Traversal","Tue Dec 02 19:19:06 UTC 2025","passed","Tue Dec 02 19:19:07 UTC 2025","","","",""
"","92","cy.wrap() - wrap an object","Misc","Tue Dec 02 19:18:31 UTC 2025","passed","Tue Dec 02 19:18:31 UTC 2025","","","",""
"","619","best practices - selecting elements","Querying","Tue Dec 02 19:18:48 UTC 2025","passed","Tue Dec 02 19:18:48 UTC 2025","","","",""
"","98","yields the returned value to the next command","Connectors","Tue Dec 02 19:18:07 UTC 2025","passed","Tue Dec 02 19:18:08 UTC 2025","",".then()","",""
"","103",".its() - get properties on the current subject","Connectors","Tue Dec 02 19:18:07 UTC 2025","passed","Tue Dec 02 19:18:07 UTC 2025","","","",""
"","178","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","Tue Dec 02 19:19:00 UTC 2025","passed","Tue Dec 02 19:19:00 UTC 2025","","","",""
"","111","cy.setCookie() - set a browser cookie","Cookies","Tue Dec 02 19:18:12 UTC 2025","passed","Tue Dec 02 19:18:12 UTC 2025","","","",""
"","775",".check() - check a checkbox or radio element","Actions","Tue Dec 02 19:17:47 UTC 2025","passed","Tue Dec 02 19:17:48 UTC 2025","","","",""
"","364",".as() - alias a DOM element for later use","Aliasing","Tue Dec 02 19:17:55 UTC 2025","passed","Tue Dec 02 19:17:56 UTC 2025","","","",""
"","121","cy.clearAllCookies() - clear all browser cookies","Cookies","Tue Dec 02 19:18:13 UTC 2025","passed","Tue Dec 02 19:18:13 UTC 2025","","","",""
"","101",".first() - get first DOM element","Traversal","Tue Dec 02 19:19:05 UTC 2025","passed","Tue Dec 02 19:19:05 UTC 2025","","","",""
"","198","cy.hash() - get the current URL hash","Location","Tue Dec 02 19:18:26 UTC 2025","passed","Tue Dec 02 19:18:26 UTC 2025","","","",""
"","1862",".click() - click on a DOM element","Actions","Tue Dec 02 19:17:45 UTC 2025","passed","Tue Dec 02 19:17:46 UTC 2025","","","",""
"","92","assert - assert shape of an object","Assertions","Tue Dec 02 19:18:01 UTC 2025","passed","Tue Dec 02 19:18:01 UTC 2025","","Explicit Assertions","",""
"","96","matches unknown text between two elements","Assertions","Tue Dec 02 19:18:01 UTC 2025","passed","Tue Dec 02 19:18:01 UTC 2025","","Explicit Assertions","",""
"","265","can filter for uncompleted tasks","example to-do app","Tue Dec 02 19:17:34 UTC 2025","passed","Tue Dec 02 19:17:35 UTC 2025","","with a checked task","",""
"","99",".invoke() - invoke a function on the current subject","Connectors","Tue Dec 02 19:18:07 UTC 2025","passed","Tue Dec 02 19:18:07 UTC 2025","","","",""
"","82","Get current version of Cypress being run","Cypress APIs","Tue Dec 02 19:18:18 UTC 2025","passed","Tue Dec 02 19:18:18 UTC 2025","","Cypress.version","",""
"","2794","cy.viewport() - set the viewport size and dimension","Viewport","Tue Dec 02 19:19:16 UTC 2025","passed","Tue Dec 02 19:19:19 UTC 2025","","","",""
"","25","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","Tue Dec 02 19:18:55 UTC 2025","passed","Tue Dec 02 19:18:55 UTC 2025","","","",""
"","83","Control what is printed to the Command Log","Cypress APIs","Tue Dec 02 19:18:18 UTC 2025","passed","Tue Dec 02 19:18:18 UTC 2025","","Cypress.log","",""
"","99",".not() - remove DOM elements from set of DOM elements","Traversal","Tue Dec 02 19:19:06 UTC 2025","passed","Tue Dec 02 19:19:06 UTC 2025","","","",""
"","84","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","Tue Dec 02 19:18:32 UTC 2025","passed","Tue Dec 02 19:18:32 UTC 2025","","Cypress.Screenshot","",""
"","228","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","Tue Dec 02 19:18:52 UTC 2025","passed","Tue Dec 02 19:18:52 UTC 2025","","","",""
"","100",".parents() - get parent DOM elements from DOM elements","Traversal","Tue Dec 02 19:19:06 UTC 2025","passed","Tue Dec 02 19:19:06 UTC 2025","","","",""
"","311","cy.fixture() - load a fixture","Files","Tue Dec 02 19:18:22 UTC 2025","passed","Tue Dec 02 19:18:22 UTC 2025","","","",""
"","326","cy.wait() - wait for a specific route","Waiting","Tue Dec 02 19:19:27 UTC 2025","passed","Tue Dec 02 19:19:27 UTC 2025","","","",""
"","171","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","Tue Dec 02 19:19:00 UTC 2025","passed","Tue Dec 02 19:19:00 UTC 2025","","","",""
"","96","cy.root() - query the root DOM element","Querying","Tue Dec 02 19:18:47 UTC 2025","passed","Tue Dec 02 19:18:48 UTC 2025","","","",""
"","289","cy.request() - verify response using BDD syntax","Network Requests","Tue Dec 02 19:18:41 UTC 2025","passed","Tue Dec 02 19:18:42 UTC 2025","","","",""
"","491","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","Tue Dec 02 19:18:59 UTC 2025","passed","Tue Dec 02 19:19:00 UTC 2025","","","",""
"","187","cy.clearCookie() - clear a browser cookie","Cookies","Tue Dec 02 19:18:12 UTC 2025","passed","Tue Dec 02 19:18:13 UTC 2025","","","",""
"","125","cy.location() - get window.location","Location","Tue Dec 02 19:18:26 UTC 2025","passed","Tue Dec 02 19:18:26 UTC 2025","","","",""
"","458","cy.request() - make an XHR request","Network Requests","Tue Dec 02 19:18:41 UTC 2025","passed","Tue Dec 02 19:18:41 UTC 2025","","","",""
"","475","cy.intercept() - route responses to matching requests","Network Requests","Tue Dec 02 19:18:43 UTC 2025","passed","Tue Dec 02 19:18:43 UTC 2025","","","",""
"","274","cy.get() - query DOM elements","Querying","Tue Dec 02 19:18:47 UTC 2025","passed","Tue Dec 02 19:18:47 UTC 2025","","","",""
"","247","cy.tick() - move time in the browser","Spies, Stubs, and Clock","Tue Dec 02 19:18:55 UTC 2025","passed","Tue Dec 02 19:18:55 UTC 2025","","","",""
"","107",".eq() - get a DOM element at a specific index","Traversal","Tue Dec 02 19:19:05 UTC 2025","passed","Tue Dec 02 19:19:05 UTC 2025","","","",""
"","105",".closest() - get closest ancestor DOM element","Traversal","Tue Dec 02 19:19:04 UTC 2025","passed","Tue Dec 02 19:19:05 UTC 2025","","","",""
"","93",".last() - get last DOM element","Traversal","Tue Dec 02 19:19:05 UTC 2025","passed","Tue Dec 02 19:19:05 UTC 2025","","","",""
"","103",".parent() - get parent DOM element from DOM elements","Traversal","Tue Dec 02 19:19:06 UTC 2025","passed","Tue Dec 02 19:19:06 UTC 2025","","","",""
"","93","Get environment variables","Cypress APIs","Tue Dec 02 19:18:17 UTC 2025","passed","Tue Dec 02 19:18:17 UTC 2025","","Cypress.env()","",""
"","442","can add new todo items","example to-do app","Tue Dec 02 19:17:34 UTC 2025","passed","Tue Dec 02 19:17:34 UTC 2025","","","",""
"","137",".trigger() - trigger an event on a DOM element","Actions","Tue Dec 02 19:17:50 UTC 2025","passed","Tue Dec 02 19:17:50 UTC 2025","","","",""
"","22","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","Tue Dec 02 19:18:55 UTC 2025","passed","Tue Dec 02 19:18:55 UTC 2025","","","",""
"","162","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","Tue Dec 02 19:19:00 UTC 2025","passed","Tue Dec 02 19:19:00 UTC 2025","","","",""
"","100",".filter() - get DOM elements that match the selector","Traversal","Tue Dec 02 19:19:05 UTC 2025","passed","Tue Dec 02 19:19:05 UTC 2025","","","",""
